datetime,duration,protocol,src,src_port,dst,dst_port,src_bytes,dst_bytes,count,srv_count
04/16-15:45:22.050, 0:00:00.001848, TCP, ec2-35-162-113-39.us-west-2.compute.amazonaws.com, 443, 192.168.136.128, 53302, 62, 70.,1,1
04/16-15:45:25.606, 0:00:58.326045, TCP, 192.168.136.128, 33118, del11s20-in-f4.1e100.net, 443, 1642, 9932.,1,1
04/16-15:45:28.189, 0:00:58.838796, TCP, 192.168.136.128, 40000, del11s09-in-f3.1e100.net, 443, 1642, 14700.,1,1
04/16-15:45:30.400, 0:00:00.205187, TCP, 192.168.136.128, 48732, del11s04-in-f10.1e100.net, 443, 2950, 3450.,1,1
04/16-15:45:31.111, 0:00:00.706782, TCP, 192.168.136.128, 34186, del12s01-in-f2.1e100.net, 443, 8, 14.,1,2
04/16-15:45:31.361, 0:00:00.628042, TCP, 192.168.136.128, 34188, del12s01-in-f2.1e100.net, 443, 4204, 15802.,2,3
04/16-15:45:31.964, 0:00:00.325028, TCP, 192.168.136.128, 60510, del11s11-in-f2.1e100.net, 443, 1564, 9930.,1,4
04/16-15:45:32.237, 0:00:00.241349, TCP, 192.168.136.128, 55022, del11s12-in-f2.1e100.net, 443, 1564, 10346.,1,5
04/16-15:45:32.348, 0:00:00.426719, TCP, 192.168.136.128, 54444, del11s20-in-f2.1e100.net, 443, 1564, 9892.,1,6
04/16-15:45:32.493, 0:00:52.115803, TCP, 192.168.136.128, 40960, del11s08-in-f3.1e100.net, 80, 850, 1404.,1,1
04/16-15:45:32.547, 0:00:52.061323, TCP, 192.168.136.128, 40962, del11s08-in-f3.1e100.net, 80, 848, 1402.,2,2
04/16-15:45:33.991, 0:00:00.173248, TCP, 192.168.136.128, 40664, del12s02-in-f14.1e100.net, 443, 1564, 14624.,1,3
04/16-15:45:34.643, 0:00:00.174285, TCP, 192.168.136.128, 42088, del12s05-in-f14.1e100.net, 443, 1564, 14624.,1,2
04/16-15:45:57.687, 0:00:00.215671, TCP, 192.168.136.128, 33120, del11s20-in-f4.1e100.net, 443, 2500, 2916.,1,1
04/16-15:46:02.155, 0:00:00.151563, TCP, 192.168.136.128, 55024, del11s12-in-f2.1e100.net, 443, 1920, 1710.,1,1
04/16-15:46:03.269, 0:00:00.172115, TCP, 192.168.136.128, 44614, del11s10-in-f1.1e100.net, 443, 1564, 16262.,1,2
04/16-15:46:03.828, 0:00:00.142979, TCP, 192.168.136.128, 33122, del11s20-in-f4.1e100.net, 443, 1894, 1710.,1,3
04/16-15:46:03.832, 0:00:00.182002, TCP, 192.168.136.128, 34242, del03s18-in-f3.1e100.net, 443, 1898, 1710.,1,4
04/16-15:46:04.024, 0:00:00.126784, TCP, 192.168.136.128, 35336, del11s18-in-f1.1e100.net, 443, 1892, 1710.,1,5
04/16-15:46:05.965, 0:00:00.247472, TCP, 192.168.136.128, 41668, del11s07-in-f10.1e100.net, 443, 1908, 1710.,1,2
